DEP,P15_POP,P15_POPF,P15_POP0014,P15_POP1529,P15_POP3044,P15_POP4559,P15_POP6074,P15_POP7589,P15_POP90P,P15_F0014,P15_F1529,P15_F3044,P15_F4559,P15_F6074,P15_F7589,P15_F90P
57,1044486,533202.036562756,178509.205652966,181530.351654973,200779.11832456,226486.819775896,163598.246458199,85212.3940578623,8369.8640755428,86949.5377230342,87780.6279268511,100241.655801614,114671.838317271,85456.9452133589,51697.3945586955,6404.03702193122
58,211747,109809.385700929,31178.6114987776,28865.3560536678,33159.9846846524,44068.9174743622,44724.0306395761,26051.024558959,3699.07509000489,15164.3829887006,13754.0490244482,16512.85949079,22372.7291588046,23190.0001807171,16019.5072503424,2795.85760712576
59,2605238,1347004.99673681,518795.716294748,528799.005751123,506860.407587441,494010.670615457,358667.233421696,177423.241036557,20681.7252929774,253648.447691623,262715.279554134,255767.901671303,252843.476177735,192841.498864726,113334.530073308,15853.862703983
60,821552,419082.014238322,168305.55788174,144170.777001721,164203.093764079,168036.116343729,117940.602891671,52634.4832029116,6261.36891414898,82585.017078201,71251.7229264116,82899.3297375822,84623.6209876519,61125.3219444768,31913.4577343782,4683.54382962066
61,286618,147018.615303876,49000.9356608105,42314.3975923644,47280.2599723588,59141.5701023125,53036.1930825989,31215.7440344776,4628.89955507726,23881.9324941773,20525.7815931999,23623.7714695609,29722.2446993543,27218.8207880476,18625.6968557625,3420.36740377299
62,1472648,759642.012598484,292553.525094467,262773.755170349,281075.158381608,292263.480335528,221336.659830391,110008.47579247,12636.9453951873,143096.195529299,127533.325363065,141701.964560495,147870.113524254,118437.913402851,71313.7650794595,9688.73513906052
63,647501,334089.168499425,106018.913248776,117083.73031791,119237.03565795,130300.111223386,109899.630186742,57058.3556208394,7903.22374439679,52163.5332200034,57870.9811683195,59425.6269629724,66072.4722070401,57505.4915545957,35075.6967549937,5975.36663150067
64,670032,348187.342879879,107942.766764754,104097.794333639,122277.41026024,139846.142897864,117094.161754615,68513.1872772228,10260.5367116654,52682.9358429779,50670.8022593678,61897.4732451446,71498.9509793842,62368.2370496869,41401.7259245717,7667.21757874563
65,228582,118701.909818852,34525.5383412298,32595.1995754081,37439.0975953474,48907.9990646317,44127.3692644912,26971.2905335031,4015.50562538864,16855.3582134133,15314.5754805754,19082.5960767988,24945.6282760696,23168.9304225115,16336.9454025244,2997.87594695905
66,471038,246932.885040759,79503.2435572269,70794.9861697325,81027.2746782658,92243.9424673132,89465.8359552345,51012.9723787612,6989.74479346594,38515.4125219631,34933.4206689933,42323.044438641,47870.3919148377,47916.038857719,30274.4526495536,5100.12398905103
67,1116658,573186.439843157,192093.115426202,216517.536270341,217286.819121775,232852.339654622,164573.497177598,83716.392165516,9618.30018394517,93798.411767408,108581.387806488,109854.842839498,117692.609985579,84958.9215754944,50867.8984163722,7432.36745231823
68,762607,389516.33434054,138429.846704108,127453.818725803,147752.354525844,162963.954138044,118373.305250701,61015.5467808151,6618.17387468506,67441.213390607,62826.3729016011,74633.0755218457,82323.5877516223,60404.1613439866,36889.2932335598,4998.63019731786
69,1821995,945571.519391576,347358.056500361,392863.28808251,365273.667797567,327058.718980774,240409.976023046,131005.188744092,18026.1038716505,169516.641709416,200588.101011526,184161.174748465,169036.472689104,129094.904710205,79728.5132842217,13445.7112386389
70,237706,120329.271133209,42973.8771154496,34633.5909515244,43535.5692624626,50068.9547362773,42379.9668850581,21506.9799799053,2607.06106932268,20669.7190878948,16653.5773557908,21810.4810214831,24927.3878485778,21568.8833390063,12785.1070749989,1914.11540545747
71,555408,286029.505742253,92262.8434886715,79577.2826680035,94750.3941191553,115575.087264365,104573.442853423,59881.3217658223,8787.62784055983,45110.7591613637,38094.0024152603,47547.4167318973,58467.7843636621,54292.4946785876,36066.2273319682,6450.82105951369
72,568445,292107.745210388,107229.595052324,93200.2053248145,102681.330416305,112604.143131888,92418.8635750005,52777.8413557207,7533.02114394721,52596.6167447514,45833.1849587102,51718.5535773441,56901.6402459351,48197.466429696,31469.6864146338,5390.59683931761
73,428204,218183.208637032,75887.7584055098,71674.0904029798,82655.655313616,89231.4586855999,68351.6564913187,35520.5069760406,4882.87372493526,37112.0117047777,34580.7167738874,41118.311683332,44756.7741047714,35731.4217583857,21286.392263427,3597.58034845046
74,793938,404012.134529906,154307.243570655,136396.22064397,173056.382284824,160929.94012031,111402.130146293,51250.5334633542,6595.54977059397,75389.9889440031,66290.8594844135,87043.6353706907,81095.9483883753,58485.0376696185,30825.8041460292,4880.86052677597
75,2206488,1167994.65164921,312250.784226521,514643.92759539,498914.233944299,404781.279819463,305907.748775467,146162.428353129,23827.597285732,153143.796540443,274315.022240816,251519.019564124,212455.693749365,168885.674320723,90189.0851154323,17486.3601183053
76,1257699,653385.809963503,232384.410225529,234665.45192927,231414.235373825,250020.41334674,195323.630790011,100431.027902474,13459.8304321513,113477.971417547,116879.233609164,117414.046096325,128841.924018367,104129.435861581,62507.7745284583,10135.4244320619
77,1390121,712065.364533082,297515.273727371,262912.427828668,289944.3984319,280773.296975606,175324.651568872,73693.1503536195,9957.80111396263,145311.090133967,132611.707261198,149052.085384325,142396.404069403,90981.4260419238,44265.5217283509,7447.12991391382
78,1427291,731757.379712451,293487.242657963,255942.775204165,290081.681121963,288683.397298298,194034.342553445,93062.1936420122,11999.3675221531,143671.86174465,126577.059198282,147273.606866691,148411.708416094,101785.882361707,55137.5858904534,8899.67523457334
79,374435,191029.518546708,67502.8798377498,54275.8361186245,68192.1588055346,77818.5725877928,63486.4110333021,37608.2153682251,5550.92624877132,32965.2740386172,26354.5003864114,34101.3351970998,39106.7540878765,32681.5017388164,21844.9048480798,3975.24824980677
80,571879,293835.206628705,103910.534582198,107917.361063907,106144.801465572,112585.242179835,90329.8188632098,45180.9517524365,5810.29009284302,50622.3931388873,53485.7435292353,53241.6797829178,57103.9390591749,47266.9748051085,27785.0425978146,4329.43371556636
81,386543,200458.828111171,65155.3142010174,56506.3662585187,66626.8854331929,79866.314439018,69508.6637775494,42255.2452036373,6624.21068706629,32024.312826961,27718.2990382114,34029.1119633803,40699.2097191212,36439.834848228,24879.6532722985,4668.40644297067
82,255274,130660.025300614,48208.7060331317,37197.749600249,47872.8121625841,51726.7509963636,42868.3452832902,23761.7932665149,3637.84265786655,23509.5357126234,18075.0933943382,24264.6581034861,26160.1667010576,22056.5380901086,13974.2450117937,2619.78828720691
83,1048652,544441.248325978,166580.732685248,158226.165288402,182037.982632618,211982.533001327,203754.567057207,110492.799657234,15577.219677964,81356.8036578196,76348.5969208132,92846.1672603676,110222.495466908,107879.231835212,64215.8936261823,11572.0595586758
84,557548,289585.726801558,100880.280405647,90996.4576588384,99600.1444073205,114010.323928981,96389.3072738231,49049.7293426616,6621.75698272846,49103.5493812157,45283.1376941131,51012.2170256217,59397.7422411148,50585.9663790768,29372.3692249597,4830.744855456
85,666714,340582.27434336,122434.779113174,96220.5237698335,122129.687519214,131212.104594374,121729.614892394,64298.3225974244,8688.96751358657,59992.8692767872,46619.5540524015,60623.484565055,66099.0096001821,63213.4955871731,37722.4787412263,6311.38252053479
86,434887,224712.554731954,74479.322855385,80741.9471011644,77212.7854981641,85012.5756247209,70828.9908104283,40301.3993331515,6309.97877698561,36404.858876951,40639.1465698049,39173.9122421456,43247.296042679,36818.1612665479,23830.0834010132,4599.09633281253
87,375795,196242.11536453,59754.3822129445,62179.8698847532,65730.5957985038,75158.109480919,67814.1521507269,39303.1669907013,5854.72348145135,29286.5669942679,31457.7175291668,33308.1910765729,38446.1321381098,35721.9888320319,23698.211336217,4323.30745816339
88,372016,191359.617058897,62878.9061775717,57621.0117460292,64496.379330971,79234.0504139613,66558.8907587388,36539.9737039512,4686.78786877669,30864.1537422038,27682.2047840705,32319.8668496264,39988.1156959606,34308.0216160712,22593.1817332973,3604.07263766736
89,340903,175057.467922121,60738.831371229,49741.605806515,59767.7637126655,69445.7001142124,62505.2288790257,33604.3044396062,5099.56567674631,29592.6063301889,24368.417775744,30305.3334564996,34965.9103252639,32041.5497328297,20031.4569114313,3752.19339016344
90,144483,72718.7149999588,26788.4716544649,26703.4787203252,27640.6324310448,28466.5111675197,21869.8725051879,11587.8343611972,1426.19916026023,12867.3229757578,12213.6396364924,13641.8335751292,14430.0534210412,11437.4321276063,7027.56852878049,1100.86473515151
91,1276233,651713.94653556,266805.286158219,246043.745208664,262648.219221899,252645.859735242,161328.953405405,77298.5982801666,9462.33799040375,130734.412695176,121615.832072051,134244.244130545,127692.541931157,84537.0070226537,45903.1907001856,6986.71798379109
92,1601569,838157.910153806,309922.345785509,310329.443931937,367060.080171215,303003.268821465,193997.483618464,101292.734815746,15963.6428556636,152121.159156198,157167.128009019,189178.623881652,159746.482433304,105599.970309005,62405.6467568743,11938.8996077527
93,1592663,809246.53494509,359651.256895023,323008.084077009,354522.117697112,295726.111824487,174972.515684622,75904.0108127574,8878.90300898888,176467.238762426,163637.802496206,178259.163717368,149775.102451273,89181.6468174405,45348.9896692039,6576.59103117229
94,1372389,713085.253193946,269377.925945597,272403.789246022,296378.279536968,266477.513330335,169610.30030354,86118.1799161801,12023.0117213577,132087.875958734,138285.784761647,151859.416874157,137802.752441893,90876.4031129137,53356.8232337814,8816.19681081884
95,1215390,625069.737884617,265850.025408444,239016.338872987,253825.851236433,237934.123104056,147537.111380552,62752.9489226308,8473.60107489638,130330.225775201,120697.53092329,130378.100921986,122825.530730957,76416.2164521162,38141.0673616959,6281.06571936952
971,397990,214510.723524811,78972.9438676996,67150.5478636791,70986.580721934,91009.5773214782,60315.3791932955,25872.8808544048,3682.0901775089,38969.7570501188,34039.522954183,41341.5883935925,49451.6248272364,32925.1397910545,15307.5277867091,2475.56272191657
972,380877,204548.667093389,67537.9075325718,61957.4277336882,64241.8610778054,92392.080956564,61116.64787833,29410.2586457872,4220.81617525329,33112.6482833055,31193.8331989489,36691.5197113499,50065.2818518563,33331.7634749321,17127.1812135192,3026.43935947741
973,259865,130892.475369177,86759.8118943645,61033.2687611163,55120.781060483,36799.6973826228,15853.3379643377,3818.67208279791,479.430854277866,42758.5050421212,31242.068267018,28121.4214152421,18391.4439925589,7823.57092213867,2223.32390449416,332.14182560352
974,850727,439291.860123946,202263.777461979,174977.948951933,169011.636329005,176825.639992638,92124.8742248326,32274.0299611905,3249.09307842224,98520.6133062706,88504.038276384,90655.4120900918,91183.0365905015,48285.5149089041,19722.6002207899,2420.64473100404
